Event,Script,Episode,Action,Rules it predates,Anchor,Why this anchor,Words,Est min,Rendered min,Drift,Gate,Shape,Voices,Cold open (what it refuses),Chapters,Listen,Page,Slug
Apartheid and Its End,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",am_michael,"catastrophic political: dark, but not funereal",1727,13.44,14.02,0.58,clean,"5 scenes, 6 rests, 1 docs, 5 accounts",F+M+N,"Nelson Mandela is remembered as a man of patience, not war. In December nineteen sixty one, the ANC's armed wing, Umkhonto we Sizwe, began attacking power stations and...",14,https://news.voidvision.org/audio/history/apartheid.mp3,https://news.voidvision.org/history/apartheid/,apartheid
Apollo 11 and the Space Race,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",bm_daniel,cultural: warm and unhurried,1584,10.53,10.43,-0.1,warn H-10,"4 scenes, 5 rests, 3 docs, 5 accounts",F+M+N,"In the summer of nineteen sixty nine, a country that could not reliably integrate its own schools landed two men on the Moon. Both of those things were true in the same...",13,https://news.voidvision.org/audio/history/apollo-11-moon-landing.mp3,https://news.voidvision.org/history/apollo-11-moon-landing/,apollo-11-moon-landing
Ashoka and the Maurya Empire,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",bm_george,major empire: mid weight,1524,11.61,11.31,-0.3,warn H-10; warn H-10,"3 scenes, 5 rests, 3 docs, 5 accounts",M+N,Monuments are built by winners and they all say the same thing. I won. Here is the enemy under my feet. Here is the number of them. There is one that gives the number...,12,https://news.voidvision.org/audio/history/ashoka-maurya-empire.mp3,https://news.voidvision.org/history/ashoka-maurya-empire/,ashoka-maurya-empire
Columbus and the Columbian Exchange,written,rendered,,inst-voice,am_michael,"catastrophic political: dark, but not funereal",1665,12.99,13.23,0.24,clean,"5 scenes, 6 rests, 2 docs, 5 accounts",M+N,Ninety percent of the people who lived in the Western Hemisphere in fourteen ninety two were dead within about a hundred years. Say that number out loud and most people...,14,https://news.voidvision.org/audio/history/columbian-exchange.mp3,https://news.voidvision.org/history/columbian-exchange/,columbian-exchange
Fall of the Western Roman Empire,written,rendered,,"H11-2nd,unnamed,inst-voice",am_michael,"catastrophic empire: dark, but not funereal",1687,13.15,13.75,0.6,clean,"5 scenes, 6 rests, 1 docs, 5 accounts",M+N,"Say the fall of Rome and most people picture fire: legions broken, a city burning, the barbarians at the gates. On the day historians use to mark the end of the Western...",14,https://news.voidvision.org/audio/history/fall-of-rome.mp3,https://news.voidvision.org/history/fall-of-rome/,fall-of-rome
The 1918 Influenza Pandemic,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",bm_lewis,catastrophic disaster: the gravest voice,1582,11.94,12.28,0.34,clean,"3 scenes, 5 rests, 2 docs, 5 accounts",M+N,"You think of a flu season as dangerous for the very old, the very young, the already sick. In the autumn of nineteen eighteen, the age group that died in the greatest...",12,https://news.voidvision.org/audio/history/spanish-flu-1918.mp3,https://news.voidvision.org/history/spanish-flu-1918/,spanish-flu-1918
The American Civil Rights Movement,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",bm_george,critical political: mid weight,1711,12.9,12.62,-0.28,clean,"4 scenes, 5 rests, 1 docs, 5 accounts",F+M+N,"The story everybody gets is a tired woman on a bus. Rosa Parks was forty two, she was not unusually tired that day, and she was not the first. Nine months earlier a...",13,https://news.voidvision.org/audio/history/civil-rights-movement.mp3,https://news.voidvision.org/history/civil-rights-movement/,civil-rights-movement
The Armenian Genocide,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",bm_lewis,catastrophic genocide: the gravest voice,1697,12.72,12.23,-0.49,warn H-10; warn H-10,"4 scenes, 4 rests, 3 docs, 5 accounts",M+N,"Berlin, March nineteen twenty one. A young man walks up to a middle aged Turkish exile on a residential street, shoots him once in the head, and waits to be arrested. He...",13,https://news.voidvision.org/audio/history/armenian-genocide.mp3,https://news.voidvision.org/history/armenian-genocide/,armenian-genocide
The Atomic Bombings of Hiroshima and Nagasaki,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",bm_lewis,catastrophic war: the gravest voice,1949,14.45,14.17,-0.28,warn H-10; warn H-10; warn H-10; warn H-10,"4 scenes, 6 rests, 2 docs, 5 accounts",M+N,"It is almost always posed as two options. Drop the bomb, or invade. A quarter of a million American dead, or a hundred and forty thousand Japanese ones. The documents...",13,https://news.voidvision.org/audio/history/hiroshima-nagasaki.mp3,https://news.voidvision.org/history/hiroshima-nagasaki/,hiroshima-nagasaki
The Black Death,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",bm_lewis,catastrophic disaster: the gravest voice,1848,13.76,14.03,0.27,clean,"5 scenes, 7 rests, 2 docs, 5 accounts",M+N,"On the fourteenth of February, thirteen forty nine, Strasbourg took its Jewish community to the cemetery and burned two thousand people alive. The plague had not reached...",14,https://news.voidvision.org/audio/history/black-death.mp3,https://news.voidvision.org/history/black-death/,black-death
The Cambodian Genocide,written,rendered,,inst-voice,bm_lewis,catastrophic genocide: the gravest voice,1778,13.28,13.64,0.36,clean,"4 scenes, 7 rests, 3 docs, 5 accounts",F+M+N,"You picture this as an assembly line. Guards, a queue, a single shot. The tribunal that spent sixteen years counting the dead found something else. Of the one and a half...",13,https://news.voidvision.org/audio/history/cambodian-genocide.mp3,https://news.voidvision.org/history/cambodian-genocide/,cambodian-genocide
The Chernobyl Disaster,written,rendered,,"H07-voice,H11-para,H11-2nd,unnamed,inst-voice",bm_lewis,catastrophic disaster: the gravest voice,1472,11.18,11.22,0.04,clean,"4 scenes, 7 rests, 2 docs, 5 accounts",F+M+N,"On the morning of the twenty eighth of April, nineteen eighty six, a routine radiation monitor at a nuclear plant in Sweden went off as a worker walked in from outside....",13,https://news.voidvision.org/audio/history/chernobyl-disaster.mp3,https://news.voidvision.org/history/chernobyl-disaster/,chernobyl-disaster
